model_name,notebook,spatial_resolution,temporal_resolution,unit_id,median_demand,rmse,mae,r2,skill,relative_mae,last_run_at
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,55,1.0,1.54,1.14,-0.6252,-0.0270270270270267,0.57,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,56,72.0,37.11,30.35,0.0098,-0.0476354849844666,0.4157534246575343,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,57,0.0,0.88,0.61,-0.1259,-0.0166666666666666,0.61,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,58,1.0,1.22,0.87,0.2355,-0.0740740740740739,0.435,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,59,1.0,4.45,2.37,0.2426,-0.8515625,1.185,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,60,1.0,2.33,1.62,0.2326,0.0121951219512194,0.81,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,61,2.0,1.68,1.2,0.4764,0.0551181102362204,0.3999999999999999,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,62,1.0,1.13,0.85,-1.1334,-0.3076923076923077,0.425,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,63,0.0,0.77,0.5,-1.0668,-0.1363636363636364,0.5,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,64,0.0,0.88,0.61,-0.3202,-0.0166666666666666,0.61,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,65,0.0,0.95,0.65,0.3767,0.0441176470588235,0.65,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,66,2.0,1.51,1.11,0.3186,0.1119999999999998,0.37,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,67,2.0,1.58,1.17,0.4248,0.1268656716417912,0.3899999999999999,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,68,5.0,2.76,2.17,0.472,0.1717557251908397,0.3616666666666666,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,69,10.0,4.46,3.62,0.4439,0.2627291242362525,0.3290909090909091,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,70,2.0,1.44,1.04,0.4782,0.0714285714285715,0.3466666666666667,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,71,5.0,2.47,1.91,0.4673,0.119815668202765,0.3183333333333333,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,72,1.0,1.34,0.95,0.4559,0.246031746031746,0.475,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,73,4.0,2.77,2.16,0.0249,0.0608695652173911,0.432,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,74,0.0,0.9,0.61,-0.4842,-0.0166666666666666,0.61,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,75,4.0,2.91,2.31,0.0179,0.1380597014925373,0.462,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,76,553.5,331.56,268.59,0.123,-1.7511010959745978,0.4843823264201983,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,77,27.0,12.84,10.18,0.6885,-0.6715927750410509,0.3635714285714285,2026-07-17T19:23:07
LinearSVR (demand-weighted),03.01_prediction_svm_CA_4h.ipynb,community_area,4h,1,13.0,6.61,5.1,0.4537,-0.3076923076923077,0.3642857142857142,2026-07-17T19:23:07
LinearSVR (demand-weighted),03.01_prediction_svm_CA_4h.ipynb,community_area,4h,2,16.0,7.15,5.65,0.4522,0.0567612687813021,0.3323529411764706,2026-07-17T19:23:07
LinearSVR (demand-weighted),03.01_prediction_svm_CA_4h.ipynb,community_area,4h,3,41.0,33.06,23.01,0.3751,-0.505890052356021,0.5478571428571429,2026-07-17T19:23:07
LinearSVR (demand-weighted),03.01_prediction_svm_CA_4h.ipynb,community_area,4h,4,8.0,4.41,3.2,0.6679,-0.1387900355871887,0.3555555555555555,2026-07-17T19:23:07
